id,title,titleHa,category,lga,year,status,agency,cost,location,indexPage,evidencePage,pdfPage,documentedInReport,verification
1,"NITDA North-East Zonal Office, Gombe","NITDA North-East Zonal Office, Gombe",Public Infrastructure & Services,Gombe,2022,Completed,NITDA,"₦318,169,671.00",Gombe State,15,15,45,True,Report documented — independent verification not yet added
2,"NCC North-East Zonal Office, Gombe","NCC North-East Zonal Office, Gombe",Public Infrastructure & Services,Gombe,2022,Completed,NCC,"₦101,480,000 (listed; ₦25,370,000/year from 2020)",Gombe State,16,16,46,True,Report documented — independent verification not yet added
3,NCC Gombe Permanent Zonal Office.,NCC Gombe Permanent Zonal Office.,Public Infrastructure & Services,Statewide / Unspecified,2022,Completed,NCC,"₦397,182,887.92","Adjacent Flossy Hospital, Gombe State",18,18,48,True,Report documented — independent verification not yet added
4,"GBB North-East Zonal Office, Gombe","GBB North-East Zonal Office, Gombe",Public Infrastructure & Services,Gombe,2021,Completed,Galaxy Backbone (GBB),"₦408,383,229.78 (land, construction + external works)",Gombe State,19,19,49,True,Report documented — independent verification not yet added
5,"NIGCOMSAT North-East Zonal Office, Gombe","NIGCOMSAT North-East Zonal Office, Gombe",Public Infrastructure & Services,Gombe,2021,Completed,NIGCOMSAT,,Gombe State,21,21,51,True,Report documented — independent verification not yet added
6,"North-East Zonal ICT Hub, Gombe","North-East Zonal ICT Hub, Gombe",Digital Centres & Innovation,Statewide / Unspecified,2018,Completed,NITDA,≈₦350 million,Gombe State,22,22,52,True,Report documented — independent verification not yet added
7,North-East Digital Park,North-East Digital Park,Digital Centres & Innovation,Statewide / Unspecified,,Documented in source index,,,,24,24,54,True,Report documented — independent verification not yet added
8,Digital Park inGombe state.,Digital Park inGombe state.,Digital Centres & Innovation,Statewide / Unspecified,2022,Completed,NCC,≈₦1.2 billion (building and digital facilities),"Federal Teaching Hospital, Gombe",25,25,55,True,Report documented — independent verification not yet added
9,"GBB NICTIB II, 1866 KM of 48 Core Fiber from Kano","GBB NICTIB II, 1866 KM of 48 Core Fiber from Kano",Broadband & Connectivity,Statewide / Unspecified,,Documented in source index,,,,26,26,56,True,Report documented — independent verification not yet added
10,"NICTIB II, 1866 KM of 48 Core Fiber from Kano","NICTIB II, 1866 KM of 48 Core Fiber from Kano",Broadband & Connectivity,Statewide / Unspecified,2022,Completed,Galaxy Backbone (GBB),≈₦3 billion (document estimate for Gombe only),Kano–Gombe–North East fibre corridor,27,27,57,True,Report documented — independent verification not yet added
11,NIPOST Shops and Restaurants,NIPOST Shops and Restaurants,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,28,28,58,True,Report documented — independent verification not yet added
12,NITDAICT HUB atFU Kashere,NITDAICT HUB atFU Kashere,Digital Centres & Innovation,Akko,2020,Completed,NITDA,"₦343,574,920.88","Federal University Kashere, Akko LGA",39,30,60,True,Report documented — independent verification not yet added
13,NITDA Virtual Library with 50 computers and unlimited internet,NITDA Virtual Library with 50 computers and unlimited internet,Education & Devices,Statewide / Unspecified,2018,Completed,NITDA,₦150 million (including equipping and internet subscription),"Federal University Kashere, Akko LGA",31,31,61,True,Report documented — independent verification not yet added
14,"NITDAIT Innovation & Incubation Park, Gombe State University","NITDAIT Innovation & Incubation Park, Gombe State University",Digital Centres & Innovation,Gombe,2020,Completed,NITDA,"₦331,318,867.00",Gombe State University,34,34,64,True,Report documented — independent verification not yet added
15,"Donation of Computer for College of Education, Billiri","Donation of Computer for College of Education, Billiri",Education & Devices,Billiri,,Documented in source index,,,,36,36,66,True,Report documented — independent verification not yet added
